Country,  total_tests, total_deaths, total_cases, human_development_index
Afghanistan, 0.0, 7309.0, 157359.0, 51.1
Africa, 0.0, 223037.0, 8665433.0, 0.0
Albania, 0.0, 3101.0, 200173.0, 79.5
Algeria, 0.0, 6076.0, 210723.0, 74.8
Andorra, 0.0, 131.0, 17426.0, 86.80000000000001
Angola, 0.0, 1735.0, 65183.0, 58.1
Anguilla, 0.0, 0.0, 0.0, 0.0
Antigua and Barbuda, 0.0, 117.0, 4141.0, 77.80000000000001
Argentina, 26092928.0, 116597.0, 5332629.0, 84.5
Armenia, 2366680.0, 7610.0, 339020.0, 77.60000000000001
Aruba, 0.0, 0.0, 0.0, 0.0
Asia, 0.0, 1220336.0, 82201364.0, 0.0
Australia, 47895753.0, 2021.0, 213357.0, 94.4
Austria, 111071336.0, 12553.0, 1170362.0, 92.2
Azerbaijan, 5551849.0, 7884.0, 590113.0, 75.60000000000001
Bahamas, 168678.0, 677.0, 22802.0, 81.4
Bahrain, 7421582.0, 1394.0, 277721.0, 85.2
Bangladesh, 10867281.0, 27983.0, 1576566.0, 63.2
Barbados, 0.0, 231.0, 25429.0, 81.4
Belarus, 10386520.0, 5098.0, 656510.0, 82.30000000000001
Belgium, 24719078.0, 27072.0, 1786444.0, 93.10000000000001
Belize, 347892.0, 578.0, 30517.0, 71.60000000000001
Benin, 0.0, 161.0, 24863.0, 54.5
Bermuda, 0.0, 0.0, 0.0, 0.0
Bhutan, 1241845.0, 3.0, 2640.0, 65.4
Bolivia, 2785551.0, 19188.0, 538647.0, 71.8
Bonaire Sint Eustatius and Saba, 0.0, 0.0, 0.0, 0.0
Bosnia and Herzegovina, 1397409.0, 12628.0, 275965.0, 7.800000000000001
Botswana, 1869359.0, 2418.0, 195068.0, 73.5
Brazil, 0.0, 614964.0, 22105872.0, 76.5
British Virgin Islands, 0.0, 0.0, 0.0, 0.0
Brunei, 0.0, 97.0, 15111.0, 83.80000000000001
Bulgaria, 6576558.0, 28542.0, 697162.0, 81.60000000000001
Burkina Faso, 0.0, 286.0, 16000.0, 45.2
Burundi, 0.0, 38.0, 20432.0, 43.300000000000004
Cambodia, 0.0, 2944.0, 120160.0, 59.400000000000006
Cameroon, 0.0, 1804.0, 107148.0, 56.300000000000004
Canada, 48807147.0, 29767.0, 1804094.0, 92.9
Cape Verde, 0.0, 350.0, 38393.0, 66.5
Cayman Islands, 0.0, 0.0, 0.0, 0.0
Central African Republic, 0.0, 101.0, 11708.0, 39.7
Chad, 0.0, 175.0, 5107.0, 39.800000000000004
Chile, 25402975.0, 38356.0, 1764274.0, 85.10000000000001
China, 0.0, 4636.0, 98974.0, 76.10000000000001
Colombia, 28103011.0, 128586.0, 5071817.0, 76.7
Comoros, 0.0, 150.0, 4508.0, 55.400000000000006
Congo, 0.0, 354.0, 18970.0, 57.400000000000006
Cook Islands, 0.0, 0.0, 0.0, 0.0
Costa Rica, 0.0, 7305.0, 566959.0, 8.1
