                         Country, human_development_index, Total Tests, Total Deaths, Total Cases, Population Size, Latest Cases, Total Vaccinations, Fully Vaccinated
                     Afghanistan,                    51.1,            ,         7309,      157359,        39835428,           70,            5116767,          3454113
                          Africa,                       0,            ,       223037,     8665433,      1373486472,        12871,          241914260,        100753353
                         Albania,                    79.5,      737014,         3101,      200173,         2872934,          228,            2101039,           961013
                         Algeria,                    74.8,            ,         6076,      210723,        44616626,          192,           12076870,          5340231
                         Andorra,       86.80000000000001,      228231,          131,       17426,           77354,          311,             104534,            49535
                          Angola,                    58.1,            ,         1735,       65183,        33933611,           15,            9026310,          2760266
                        Anguilla,                       0,            ,             ,            ,           15125,             ,              19914,             9213
             Antigua and Barbuda,       77.80000000000001,       16700,          117,        4141,           98728,            0,             117637,            56219
                       Argentina,                    84.5,    26092928,       116597,     5332629,        45605823,         1881,           68874746,         29854090
                         Armenia,       77.60000000000001,     2366680,         7610,      339020,         2968128,          502,            1217391,           436380
                           Aruba,                       0,            ,             ,            ,          107195,             ,             161648,            78007
                            Asia,                       0,            ,      1220336,    82201364,      4678444992,        90341,         5474161178,       2303972502
                       Australia,                    94.4,    47895753,         2021,      213357,        25788217,         1702,           39375629,         18858248
                         Austria,                    92.2,   111071336,        12553,     1170362,         9043072,        10367,           14065322,          5977739
                      Azerbaijan,       75.60000000000001,     5551849,         7884,      590113,        10223344,         1795,           10567919,          4573036
                         Bahamas,                    81.4,      168678,          677,       22802,          396914,           11,             280176,           138266
                         Bahrain,                    85.2,     7421582,         1394,      277721,         1748295,           31,            2936188,          1160067
                      Bangladesh,                    63.2,    10867281,        27983,     1576566,       166303494,          282,           98566118,         36951959
                        Barbados,                    81.4,            ,          231,       25429,          287708,          113,             290345,           136759
                         Belarus,       82.30000000000001,    10386520,         5098,      656510,         9442867,         1792,            5975709,          2560448
                         Belgium,       93.10000000000001,    24719078,        27072,     1786444,        11632334,        20409,           17121628,          8699768
                          Belize,       71.60000000000001,      347892,          578,       30517,          404915,           86,             407766,           193188
                           Benin,                    54.5,      640586,          161,       24863,        12451031,           13,             383501,           297726
                         Bermuda,                       0,            ,             ,            ,           62092,             ,             101341,            47365
                          Bhutan,                    65.4,     1241845,            3,        2640,          779900,            0,            1153283,           564142
                         Bolivia,                    71.8,     2785551,        19188,      538647,        11832936,         1088,            8041447,          3948592
 Bonaire Sint Eustatius and Saba,                       0,            ,             ,            ,           26445,             ,              35845,            16736
          Bosnia and Herzegovina,       7.800000000000001,     1397409,        12628,      275965,         3263459,          900,            1553874,           720641
                        Botswana,                    73.5,     1869359,         2418,      195068,         2397240,            0,            1352557,           469369
                          Brazil,                    76.5,    65191446,       614964,    22105872,       213993441,        11413,          310770495,        134636857
          British Virgin Islands,                       0,            ,             ,            ,           30423,             ,              34909,            16650
                          Brunei,       83.80000000000001,            ,           97,       15111,          441532,           53,             752450,           348775
                        Bulgaria,       81.60000000000001,     6576558,        28542,      697162,         6896655,         2105,            3350019,          1780797
                    Burkina Faso,                    45.2,            ,          286,       16000,        21497097,            0,             661796,           297231
                         Burundi,      43.300000000000004,            ,           38,       20432,        12255429,           17,               1592,              778
                        Cambodia,      59.400000000000006,     2289480,         2944,      120160,        16946446,           26,           28774496,         13384463
                        Cameroon,      56.300000000000004,            ,         1804,      107148,        27224262,          354,             953375,           595316
                          Canada,                    92.9,    48807147,        29767,     1804094,        38067913,         3227,           60779598,         29038898
                      Cape Verde,                    66.5,            ,          350,       38393,          561901,           23,             544075,           246960
                  Cayman Islands,                       0,            ,             ,            ,           66498,             ,             123877,            55829
        Central African Republic,                    39.7,            ,          101,       11708,         4919987,            0,             422496,           321982
                            Chad,      39.800000000000004,            ,          175,        5107,        16914985,            0,             258618,            72824
                           Chile,       85.10000000000001,    25402975,        38356,     1764274,        19212362,         1523,           40995489,         16140415
                           China,       76.10000000000001,   160000000,         4636,       98974,      1444216102,           73,         2516380000,       1110506000
                        Colombia,                    76.7,    28103011,       128586,     5071817,        51265841,         2173,           57087983,         24597537
                         Comoros,      55.400000000000006,            ,          150,        4508,          888456,            7,             523256,           241310
                           Congo,      57.400000000000006,            ,          354,       18970,         5657017,            0,             625579,           128936
                    Cook Islands,                       0,            ,             ,            ,           17572,             ,              24326,            11726
                      Costa Rica,                     8.1,     2104073,         7305,      566959,         5139053,          120,            7137983,          3215091
                   Cote d'Ivoire,      53.800000000000004,     1151972,          704,       61758,        27053629,           34,            3845788,          1176366
                         Croatia,       85.10000000000001,     3463550,        10967,      613914,         4081657,         5709,            4154022,          1944167
                            Cuba,       78.30000000000001,     5296762,         8305,      962628,        11317498,          142,           28434067,          9217347
                         Curacao,                       0,            ,             ,            ,          164796,             ,             198191,            95234
                          Cyprus,                    88.7,    16549061,          598,      134965,          896005,          492,            1310756,           583001
                         Czechia,                     0.9,            ,        33186,     2172084,        10724553,        22042,           13598875,          6379683
    Democratic Republic of Congo,       4.800000000000001,            ,         1107,       58306,        92377986,           72,             193416,            56167
                         Denmark,                     9.4,    47250361,         2922,      497665,         5813302,         5182,            9829691,          4457162
                        Djibouti,      52.400000000000006,            ,          186,       13504,         1002197,            0,              99679,            26087
                        Dominica,                    74.2,            ,           38,        6028,           72172,            0,              55524,            26760
              Dominican Republic,       75.60000000000001,     2191882,         4210,      407474,        10953714,          223,           13816937,          5601216
                         Ecuador,                    75.9,     1913525,        33250,      526870,        17888474,            0,           24662847,         11164005
                           Egypt,                    70.7,            ,        20537,      359516,       104258327,          938,           39914919,         15271388
                     El Salvador,                    67.3,      892564,         3778,      119803,         6518500,            0,            9179875,          4059302
               Equatorial Guinea,                    59.2,      259834,          175,       13592,         1449891,            0,             445684,           198169
                         Eritrea,      45.900000000000006,            ,           60,        7393,         3601462,           35,                   ,                 
                         Estonia,                    89.2,     2349059,         1803,      223171,         1325188,          587,            1482433,           789967
                        Eswatini,                    61.1,            ,         1248,       46753,         1172369,           97,             306445,           260763
                        Ethiopia,                    48.5,     3836900,         6771,      371672,       117876226,          136,            9555907,          1449410
                          Europe,                       0,            ,      1424536,    75127331,       748962983,       429557,          957466140,        436048586
                  European Union,                       0,            ,       848405,    47037903,       447189915,       315531,          643901084,        300899675
                  Faeroe Islands,                       0,            ,             ,            ,           49053,             ,              78347,            38142
                Falkland Islands,                       0,            ,             ,            ,            3528,             ,               4407,             1775
                            Fiji,                    74.3,      299637,          697,       52532,          902899,           26,            1237108,           585788
                         Finland,       93.80000000000001,     7960883,         1348,      188108,         5548361,         1570,            8320952,          4031696
                          France,       90.10000000000001,            ,       120208,     7829045,        67564251,        50470,          105838515,         47151836
                French Polynesia,                       0,            ,             ,            ,          282534,             ,             318790,           155959
                           Gabon,                    70.3,     1394773,          279,       37342,         2278829,            0,             277979,           111626
                          Gambia,                    49.6,      123506,          342,        9989,         2486937,            0,             268008,           222890
                         Georgia,                    81.2,    10362860,        12119,      850102,         3979773,         4459,            2197838,          1022459
                         Germany,                    94.7,    83746921,       102183,     5999020,        83900471,        75456,          124401062,         57101728
                           Ghana,                    61.1,     1885473,         1209,      130920,        31732128,            0,            3493688,           842225
