"","Code","EIU20VA","EIU20PV","EIU20GE","EIU20RQ","EIU20RL","EIU20CC","EIU19VA","EIU19PV","EIU19GE","EIU19RQ","EIU19RL","EIU19CC","EIU18VA","EIU18PV","EIU18GE","EIU18RQ","EIU18RL","EIU18CC","EIU17VA","EIU17PV","EIU17GE","EIU17RQ","EIU17RL","EIU17CC","EIU16VA","EIU16PV","EIU16GE","EIU16RQ","EIU16RL","EIU16CC","EIU15VA","EIU15PV","EIU15GE","EIU15RQ","EIU15RL","EIU15CC","EIU14VA","EIU14PV","EIU14GE","EIU14RQ","EIU14RL","EIU14CC","EIU13VA","EIU13PV","EIU13GE","EIU13RQ","EIU13RL","EIU13CC","EIU12VA","EIU12PV","EIU12GE","EIU12RQ","EIU12RL","EIU12CC","EIU11VA","EIU11PV","EIU11GE","EIU11RQ","EIU11RL","EIU11CC","EIU10VA","EIU10PV","EIU10GE","EIU10RQ","EIU10RL","EIU10CC","EIU09VA","EIU09PV","EIU09GE","EIU09RQ","EIU09RL","EIU09CC","EIU08VA","EIU08PV","EIU08GE","EIU08RQ","EIU08RL","EIU08CC","EIU07VA","EIU07PV","EIU07GE","EIU07RQ","EIU07RL","EIU07CC","EIU06VA","EIU06PV","EIU06GE","EIU06RQ","EIU06RL","EIU06CC","EIU05VA","EIU05PV","EIU05GE","EIU05RQ","EIU05RL","EIU05CC","EIU04VA","EIU04PV","EIU04GE","EIU04RQ","EIU04RL","EIU04CC","EIU03VA","EIU03PV","EIU03GE","EIU03RQ","EIU03RL","EIU03CC","EIU02VA","EIU02PV","EIU02GE","EIU02RQ","EIU02RL","EIU02CC","EIU00VA","EIU00PV","EIU00GE","EIU00RQ","EIU00RL","EIU00CC","EIU98VA","EIU98PV","EIU98GE","EIU98RQ","EIU98RL","EIU98CC","EIU96VA","EIU96PV","EIU96GE","EIU96RQ","EIU96RL","EIU96CC"
" ","Year","2020.0","2020.0","2020.0","2020.0","2020.0","2020.0","2019.0","2019.0","2019.0","2019.0","2019.0","2019.0","2018.0","2018.0","2018.0","2018.0","2018.0","2018.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2016.0","2016.0","2016.0","2016.0","2016.0","2016.0","2015.0","2015.0","2015.0","2015.0","2015.0","2015.0","2014.0","2014.0","2014.0","2014.0","2014.0","2014.0","2013.0","2013.0","2013.0","2013.0","2013.0","2013.0","2012.0","2012.0","2012.0","2012.0","2012.0","2012.0","2011.0","2011.0","2011.0","2011.0","2011.0","2011.0","2010.0","2010.0","2010.0","2010.0","2010.0","2010.0","2009.0","2009.0","2009.0","2009.0","2009.0","2009.0","2008.0","2008.0","2008.0","2008.0","2008.0","2008.0","2007.0","2007.0","2007.0","2007.0","2007.0","2007.0","2006.0","2006.0","2006.0","2006.0","2006.0","2006.0","2005.0","2005.0","2005.0","2005.0","2005.0","2005.0","2004.0","2004.0","2004.0","2004.0","2004.0","2004.0","2003.0","2003.0","2003.0","2003.0","2003.0","2003.0","2002.0","2002.0","2002.0","2002.0","2002.0","2002.0","2000.0","2000.0","2000.0","2000.0","2000.0","2000.0","1998.0","1998.0","1998.0","1998.0","1998.0","1998.0","1996.0","1996.0","1996.0","1996.0","1996.0","1996.0"
"Aruba","ABW","0.8125","0.75","0.625","0.7","0.84375","0.75","0.8125","0.75","0.625","0.7","0.84375","0.75","0.8125","0.75","0.625","0.7","0.84375","0.75","0.8125","0.8","0.625","0.85","0.84375","0.75","0.8125","0.8","0.625","0.9","0.84375","0.75","0.8125","0.8","0.625","0.9","0.84375","0.75","0.8125","0.8","0.625","0.9","0.84375","0.75","0.8125","0.8","0.625","0.9","0.84375","0.75","0.8125","0.8","0.625","0.9","0.84375","0.75","0.8125","0.75","0.625","0.9","0.84375","0.75","0.8125","0.75","0.625","0.9","0.875","0.75","0.8125","0.8","0.75","0.9","0.875","0.75","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Afghanistan","AFG","0.17375000000000002","0.1","0.0","0.2","0.09375","0.0","0.17375000000000002","0.1","0.0","0.2","0.09375","0.0","0.17975000000000002","0.1","0.0","0.2","0.09375","0.0","0.15875","0.1","0.0","0.2","0.09375","0.0","0.15875","0.1","0.0","0.2","0.09375","0.0","0.16975","0.1","0.0","0.2","0.09375","0.0","0.16975","0.1","0.0","0.15","0.09375","0.0","0.15525","0.1","0.0","0.15","0.09375","0.0","0.15525","0.1","0.0","0.15","0.09375","0.0","0.15525","0.1","0.0","0.15","0.09375","0.0","0.15525","0.1","0.0","0.15","0.09375","0.0","0.18225","0.1","0.0","0.15","0.09375","0.0","0.302","..","..","..","..","..","0.306","..","..","..","..","..","0.18425","0.05","0.0","0.15","0.03125","0.0","0.0625","0.05","0.125","0.15","0.09375","0.0","0.0625","0.15","0.125","0.15","0.09375","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Angola","AGO","0.33925","0.6","0.125","0.4","0.28125","0.0","0.34225","0.6","0.125","0.4","0.28125","0.0","0.33725","0.6","0.125","0.4","0.28125","0.0","0.306","0.55","0.125","0.4","0.28125","0.0","0.295","0.5","0.125","0.4","0.28125","0.0","0.2925","0.5","0.125","0.45","0.28125","0.0","0.2925","0.55","0.125","0.45","0.28125","0.0","0.2925","0.55","0.125","0.5","0.28125","0.0","0.2925","0.55","0.25","0.55","0.28125","0.0","0.291","0.55","0.25","0.55","0.28125","0.0","0.291","0.6","0.25","0.55","0.28125","0.0","0.2925","0.6","0.25","0.5","0.3125","0.0","0.32375","0.65","0.125","0.5","0.28125","0.0","0.2455","0.425","0.0","0.5","0.25","0.0","0.21425","0.35","0.0","0.45","0.28125","0.0","0.1875","0.35","0.125","0.15","0.15625","0.0","0.125","0.45","0.0","0.2","0.15625","0.0","0.0625","0.3","0.0","0.2","0.0625","0.0","0.0625","0.2","0.0","0.2","0.0625","0.0","0.0625","0.15","0.0","0.2","0.0625","0.0","0.0625","0.15","0.0","0.2","0.0625","0.0","0.0625","0.15","0.0","0.2","0.0625","0.0"
"Albania","ALB","0.554","0.6","0.25","0.65","0.40625","0.25","0.57575","0.55","0.25","0.65","0.375","0.25","0.58025","0.6","0.25","0.6","0.375","0.25","0.58025","0.6","0.25","0.6","0.375","0.25","0.57675","0.55","0.25","0.6","0.375","0.25","0.57675","0.55","0.25","0.55","0.375","0.0","0.56475","0.55","0.25","0.55","0.375","0.0","0.56475","0.45","0.25","0.55","0.375","0.0","0.5335","0.35","0.25","0.55","0.375","0.0","0.5405","0.3","0.25","0.55","0.375","0.0","0.543","0.45","0.25","0.55","0.375","0.25","0.5455","0.45","0.25","0.55","0.375","0.25","0.5455","0.5","0.25","0.55","0.375","0.25","0.5455","0.5","0.25","0.55","0.375","0.25","0.5455","0.55","0.25","0.55","0.375","0.25","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"United Arab Emirates","ARE","0.1875","0.8","0.75","0.7","0.71875","0.75","0.23174999999999998","0.8","0.75","0.75","0.71875","0.75","0.23174999999999998","0.8","0.75","0.7","0.6875","0.75","0.22825","0.8","0.75","0.7","0.6875","0.75","0.23125","0.75","0.75","0.7","0.6875","0.75","0.23125","0.75","0.625","0.7","0.625","0.5","0.22575","0.75","0.5","0.65","0.59375","0.5","0.21975","0.75","0.5","0.65","0.59375","0.5","0.22275","0.75","0.5","0.65","0.59375","0.5","0.22275","0.75","0.5","0.65","0.59375","0.5","0.21975","0.75","0.5","0.7","0.59375","0.5","0.22375","0.75","0.5","0.7","0.59375","0.5","0.255","0.65","0.5","0.7","0.625","0.75","0.246","0.65","0.5","0.775","0.515625","0.75","0.246","0.75","0.5","0.8","0.53125","0.75","0.25","0.75","0.5","0.8","0.53125","0.75","0.25","0.75","0.5","0.8","0.53125","0.75","0.25","0.75","0.5","0.8","0.53125","0.75","0.25","0.7","0.5","0.8","0.53125","0.75","0.25","0.75","0.5","0.75","0.5625","0.25","0.25","0.75","0.5","0.75","0.5625","0.25","0.25","0.75","0.5","0.75","0.5625","0.25"
"Argentina","ARG","0.62875","0.55","0.375","0.4","0.4375","0.5","0.63225","0.55","0.375","0.45","0.4375","0.5","0.63225","0.6","0.5","0.55","0.53125","0.5","0.62925","0.65","0.5","0.45","0.53125","0.5","0.62925","0.55","0.5","0.35","0.53125","0.5","0.601","0.55","0.375","0.2","0.375","0.25","0.592","0.5","0.375","0.2","0.34375","0.25","0.592","0.5","0.375","0.2","0.34375","0.25","0.592","0.5","0.375","0.2","0.34375","0.25","0.62325","0.5","0.375","0.3","0.375","0.25","0.62325","0.55","0.375","0.3","0.375","0.25","0.61275","0.55","0.375","0.3","0.375","0.25","0.61275","0.65","0.375","0.3","0.40625","0.25","0.61275","0.6","0.375","0.275","0.390625","0.25","0.61275","0.55","0.375","0.25","0.375","0.25","0.5625","0.6","0.375","0.35","0.375","0.25","0.5625","0.55","0.375","0.4","0.375","0.25","0.5","0.5","0.375","0.4","0.34375","0.25","0.5","0.35","0.375","0.35","0.34375","0.25","0.375","0.6","0.375","0.65","0.4375","0.25","0.375","0.55","0.5","0.65","0.5","0.25","0.375","0.55","0.625","0.65","0.5","0.25"
"Armenia","ARM","0.48624999999999996","0.35","0.375","0.5","0.5","0.5","0.49575","0.4","0.375","0.5","0.5","0.25","0.45825","0.4","0.375","0.5","0.5","0.25","0.393","0.4","0.375","0.5","0.5","0.25","0.3815","0.45","0.375","0.45","0.5","0.25","0.3875","0.45","0.375","0.5","0.5","0.25","0.36275","0.4","0.375","0.45","0.5","0.25","0.32599999999999996","0.4","0.375","0.45","0.4375","0.25","0.3295","0.35","0.25","0.65","0.40625","0.25","0.3295","0.35","0.25","0.65","0.40625","0.25","0.3295","0.4","0.25","0.65","0.40625","0.25","0.34900000000000003","0.25","0.25","0.65","0.40625","0.25","0.34900000000000003","0.3","0.25","0.65","0.4375","0.25","0.3325","0.4","0.25","0.65","0.4375","0.25","0.3325","0.35","0.25","0.65","0.4375","0.25","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Australia","AUS","0.8542500000000001","0.8","1.0","0.9","0.9375","1.0","0.86075","0.85","1.0","0.9","0.9375","1.0","0.86075","0.85","1.0","0.9","0.9375","1.0","0.86075","0.85","1.0","0.9","0.9375","1.0","0.85675","0.85","1.0","0.95","0.9375","1.0","0.85675","0.85","1.0","0.9","0.9375","1.0","0.85675","0.85","1.0","0.9","0.9375","1.0","0.86275","0.85","0.875","0.9","0.9375","0.75","0.8672500000000001","0.85","0.75","0.85","0.90625","1.0","0.8672500000000001","0.85","0.75","0.8","0.90625","1.0","0.8672500000000001","0.85","0.75","0.75","0.90625","1.0","0.86075","0.85","0.75","0.8","0.90625","1.0","0.86075","0.9","0.75","0.8","0.90625","1.0","0.86075","0.875","0.75","0.8","0.90625","0.875","0.86075","0.85","0.75","0.8","0.90625","0.75","0.8125","0.95","0.75","0.85","0.90625","0.75","0.75","0.95","0.875","0.85","0.90625","0.75","0.6875","0.9","0.75","0.75","0.9375","0.75","0.6875","0.9","0.75","0.75","0.9375","0.75","0.6875","0.9","0.75","0.75","0.9375","0.75","0.6875","0.95","0.625","0.75","0.9375","0.75","0.6875","0.95","0.625","0.7","0.9375","0.75"
"Austria","AUT","0.8455","0.85","0.75","0.75","0.96875","0.75","0.852","0.85","0.75","0.8","0.96875","0.75","0.852","0.85","0.75","0.8","0.96875","0.75","0.8585","0.95","0.75","0.85","0.96875","0.75","0.858","0.95","0.75","0.85","0.96875","0.75","0.8644999999999999","0.95","0.75","0.8","0.96875","0.75","0.8644999999999999","0.95","0.75","0.8","0.96875","0.75","0.8615","0.95","0.75","0.8","0.96875","0.75","0.8684999999999999","0.95","0.75","0.8","0.96875","0.75","0.862","0.85","0.75","0.8","0.9375","0.75","0.89325","0.85","0.875","0.8","0.90625","0.75","0.89325","0.85","0.75","0.8","0.90625","1.0","0.89325","0.9","0.75","0.8","0.9375","1.0","0.90325","0.9","0.75","0.8","0.9375","1.0","0.90325","0.95","0.75","0.8","0.9375","1.0","0.8125","0.95","0.875","0.85","0.9375","1.0","0.875","0.95","0.875","0.8","0.9375","1.0","0.8125","0.95","1.0","0.8","0.9375","1.0","0.8125","0.95","1.0","0.8","0.9375","1.0","0.75","0.95","1.0","0.75","0.9375","1.0","0.8125","0.95","1.0","0.75","0.9375","1.0","0.8125","0.95","1.0","0.75","0.9375","1.0"
