                 Country, Voice & Accountability, Pol. Stability & Abs. of Violence, Govt. Effectiveness, Regulatory Quality, Rule of Law, Control of Corruption, Total Tests, Total Deaths, Total Cases, Total Vaccinations, Fully Vaccinated,   population
                   Aruba,                 0.8125,                              0.75,               0.625,                0.7,     0.84375,                  0.75,            ,             ,            ,             161648,            78007,     107195.0
             Afghanistan,    0.17375000000000002,                               0.1,                   0,                0.2,     0.09375,                     0,            ,         7309,      157359,            5116767,          3454113,   39835428.0
                  Angola,                0.33925,                               0.6,               0.125,                0.4,     0.28125,                     0,            ,         1735,       65183,            9026310,          2760266,   33933611.0
                 Albania,                  0.554,                               0.6,                0.25,               0.65,     0.40625,                  0.25,      737014,         3101,      200173,            2101039,           961013,    2872934.0
    United Arab Emirates,                 0.1875,                               0.8,                0.75,                0.7,     0.71875,                  0.75,    97208646,         2148,      742109,           21548528,          8832256,    9991083.0
               Argentina,                0.62875,                              0.55,               0.375,                0.4,      0.4375,                   0.5,    26092928,       116597,     5332629,           68874746,         29854090,   45605823.0
                 Armenia,    0.48624999999999996,                              0.35,               0.375,                0.5,         0.5,                   0.5,     2366680,         7610,      339020,            1217391,           436380,    2968128.0
               Australia,     0.8542500000000001,                               0.8,                   1,                0.9,      0.9375,                     1,    47895753,         2021,      213357,           39375629,         18858248,   25788217.0
                 Austria,                 0.8455,                              0.85,                0.75,               0.75,     0.96875,                  0.75,   111071336,        12553,     1170362,           14065322,          5977739,    9043072.0
              Azerbaijan,                 0.1965,                               0.3,               0.375,                0.4,       0.375,                  0.25,     5551849,         7884,      590113,           10567919,          4573036,   10223344.0
                 Burundi,                 0.1695,                               0.3,               0.125,                0.3,      0.1875,                     0,            ,           38,       20432,               1592,              778,   12255429.0
                 Belgium,                  0.813,                              0.75,               0.625,                0.8,     0.84375,                  0.75,    24719078,        27072,     1786444,           17121628,          8699768,   11632334.0
                   Benin,                0.44775,                               0.5,               0.125,               0.35,        0.25,                   0.5,      640586,          161,       24863,             383501,           297726,   12451031.0
            Burkina Faso,                 0.3115,                              0.25,               0.125,                0.4,       0.375,                   0.5,            ,          286,       16000,             661796,           297231,   21497097.0
              Bangladesh,                0.39325,                               0.5,               0.125,                0.3,      0.4375,                     0,    10867281,        27983,     1576566,           98566118,         36951959,  166303494.0
                Bulgaria,                 0.5855,                               0.7,               0.375,                0.7,         0.5,                  0.25,     6576558,        28542,      697162,            3350019,          1780797,    6896655.0
                 Bahrain,                  0.187,                              0.25,                 0.5,                0.6,       0.625,                   0.5,     7421582,         1394,      277721,            2936188,          1160067,    1748295.0
